Type,Construction Type,Floor Area,Floors in the Building,Number of Rooms,Number of Bathrooms,Renovation,Land Area,Address,Price,Currency,Description,Datetime,Furniture,Garage,Facilities,Appliances,Service Lines,Links,Number of Guests,Children Are Welcome,Pets Allowed,Utility Payments,Prepayment,Amenities
Country House,Stone,130 sq.m.,1,4,1,Cosmetic Renovation,,Gegharkunik › Vardenis,"$6,000",USD,"Private house for sale in Geghamasar village (Shishkaya) with permanent water and all amenities, with the necessary equipment. There is also two hectares of arable land.Translated from Armenian",Nov-24-2022_23-35,,,,,,https://list.am/en/item/15242842,,,,,,
Country House,Stone,1500 sq.m.,1,3,1,Old Renovation,1400 sq.m.,Gegharkunik › Martuni,"$11,000",USD,A plot of land with its construction is for sale in the Zolakar village of the city of Martuni.Translated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/18046081,,,,,,
House,Stone,1000 sq.m.,1,3,1,Old Renovation,,Gegharkunik › Sevan,"$22,000",USD,"Վաճառվում է սեփական տուն. 1_ հարկանի. Արևկողմ է տան տարածքում կան 2քարե տիպի շինություններ. Նաև ունի արհեստանոց. Ունի կանաչապատ տարածք... Տունն գտնվում է Սևան քաղաքի եկեղեցու հարևանությամբ մանրամասների համար զանգահարել. Նաև փոխանակում մեքենայի հետ. Продается собственный дом. 1_ этажный. На территории дома есть 2карей тип здания. Также есть мастерская. Имеет зеленое пространство... Дом расположен рядом с церковью города Севан, для более подробной информации звоните",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17701971,,,,,,
House,Stone,,1,3,1,Cosmetic Renovation,,Gegharkunik › Sevan,"$45,000",USD,"Շտապ վաճառվում է գեղեցիկ առանձնատուն Լավանդա Սիթիում, շատ հարմար է ընտանեկան հանգստի համար, ապահոված է բոլոր պայմաններով ։Ցանկության դեպքում կտրվի նաև վարձով:",Nov-24-2022_23-36,,,,,,https://list.am/en/item/14043707,,,,,,
House,Stone,1000 sq.m.,1,3,1,Old Renovation,800 sq.m.,Gegharkunik › Sevan,"$45,000",USD,"It is located in Komitas alley, next to the house there is a house with a large land plot.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17826952,,,,,,
House,Stone,280 sq.m.,2,6,2,Euro Renovation,600 sq.m.,Gegharkunik › Sevan,"$60,000",USD,Call for more detailsTranslated from Armenian,Nov-24-2022_23-36,Available,3 or more spots,,,,https://list.am/en/item/18256503,,,,,,
House,Stone,200 sq.m.,3,5,3+,Partial Renovation,900 sq.m.,"Nairyan Street, Sevan town","$31,000",USD,"House for sale in San, Garegin Nzhdeh street, house 2. It is half-built, the roof is completely repaired, the interior walls are built, the yard needs very little care, there are fruit trees. It is located near the water supply system. For more information call. Price: Will be bargained for real buyers.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17620460,,,,,,
Country House,Stone,458 sq.m.,2,8+,2,No Renovation,2440 sq.m.,"Նաիրյան փողոց 176, Սևան","$70,000",USD,"It is fenced, has a garden, a garage and an adjacent building. It has a view of the lake. Can serve as a guest house.Translated from Armenian",Nov-24-2022_23-36,,3 or more spots,,,,https://list.am/en/item/17731131,,,,,,
Country House,Stone,189 sq.m.,2,4,1,Old Renovation,1500 sq.m.,Gegharkunik › Vardenis,"$25,000",USD,"It is located in an ambush in Gegharkunik region village, it has 4 rooms, a balcony, a basement with 2 entrances, it has a tonir and fruit trees, the house is next to the school, the house has a beautiful view of Lake Sana and Geghama mountains.Translated from Armenian",Nov-24-2022_23-36,Not available,1 spot,,,,https://list.am/en/item/16261111,,,,,,
House,Stone,200 sq.m.,1,7,1,Partial Renovation,3500 sq.m.,"Karchaghbyur Roadway, Artsvanist","$14,000",USD,The house together with the land is for sale very urgentlyTranslated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/18223918,,,,,,
House,Stone,300 sq.m.,2,5,1,Old Renovation,30 sq.m.,Gegharkunik › Gavar,"7,000,000 ֏",AMD,A private house is for sale near the 3rd school in Gavar city. There is a garage next to it. The surface of the garden is 30 square meters.Translated from Armenian,Nov-24-2022_23-36,Not available,1 spot,,,,https://list.am/en/item/18358689,,,,,,
House,Stone,270 sq.m.,1,4,1,Old Renovation,,Gegharkunik › Martuni,"$40,000",USD,"Urgently for sale 271 m (185 m, 86 m barn, 0.34 ha land) private house in Martuni, near Mush supermarket, the price is negotiable. For details, call the mentioned phone number.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16539355,,,,,,
House,Stone,600 sq.m.,3,7,2,Designer Renovation,,"Charents street, Sevan town","$100,000",USD,It is possible to exchange it with an apartment. In the city of YerevanTranslated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/17952292,,,,,,
House,Stone,200 sq.m.,2,6,1,Partial Renovation,,"Buniatyan St, Gavar","$27,000",USD,A two-story stone house in the province. Price: Negotiable. For sale or exchange with accommodation.Translated from Armenian,Nov-24-2022_23-36,By agreement,1 spot,,,,https://list.am/en/item/18065545,,,,,,
House,Stone,619 sq.m.,3,8+,2,Partial Renovation,730 sq.m.,"Nairyan Street, Sevan town","26,000,000 ֏",AMD,"On the central street, on the south side, there is an adjacent structure renovated, on both sides there is a plot of landTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18358029,,,,,,
House,Stone,300 sq.m.,1,4,1,Old Renovation,,Gegharkunik › Tsovagyugh,"$23,000",USD,"It has a rather large land, an orchard.1.16 ha of land, of which 0.66 ha is arable land, 0.5 ha is grassland.The house needs a thorough renovation.It has a basement, storage rooms, a barn.For details, please call.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16641197,,,,,,
House,Stone,80 sq.m.,1,3,3+,Old Renovation,3410 sq.m.,Gegharkunik › Areguni,"$13,000",USD,It has 3 hectares of arable landThe yard has fruit treesHas a barnHas an auxiliary buildingWhat is drinking and irrigation water?Write the pictures and I will send them to my WhatsAppNegotiable!Translated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/17466311,,,,,,
House,Stone,50 sq.m.,1,3,1,Euro Renovation,,Gegharkunik › Sevan,"$19,500",USD,3 rooms are for sale in the forest on the city beach on the shore of Sevan. Stone cottage (50 sq. M.) with fully renovated cottage has hot and cold water in the yard with a pavilion for 20 people with a barbecueTranslated from Armenian,Nov-24-2022_23-36,Available,Not available,,,,https://list.am/en/item/16386244,,,,,,
House,Stone,510 sq.m.,2,8+,1,Partial Renovation,1200 sq.m.,"Nairyan Street, Sevan town","$88,000",USD,"A house is for sale on 109 Nairyan street, San city. The territory includes a one-storey old renovated house, a 3-room house with a total area of 108 m2, a semi-constructed 2-storey house with a basement of 402 m2. There is a 36m2 shop with houses. The total land area with buildings is 1200 m2. For questions, call Alik.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16135072,,,,,,
Country House,Stone,71 sq.m.,1,3,1,Major Renovation,78 sq.m.,Gegharkunik › Sevan,"$35,000",USD,"Private house for sale in Lavanda City with furniture and appliances.It is renovated, the floor is heated, has a fireplace, Ariston water heater. It is close to Lake Sanaa.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/7505268,,,,,,
House,Stone,112 sq.m.,2,6,1,Major Renovation,60 sq.m.,Gegharkunik › Sevan,"$41,000",USD,"ПРОДАЮ СРОЧНООО собственный дом двухэтажный в городе Севане на центральной улице. Есть газ, вода постояная, свет, летняя кухня, баня, два гаража для машины, бисетка каменная с манхалом, отдельных два небольших сараев и земельный участок. ПРОДАЮ СРОЧНО ЦЕНА ДОГОВОРНАЯ 20.000000 ДРАМ.",Nov-24-2022_23-36,Available,2 spots,,,,https://list.am/en/item/18126013,,,,,,
House,Stone,100 sq.m.,1,3,1,No Renovation,3000 sq.m.,Gegharkunik › Sevan,"$15,000",USD,"Продается дом с участком в селе Гегамаван, Гегаргуникской области. Для подробной информации позвоните по отмеченному номеру.",Nov-24-2022_23-36,Not available,1 spot,,,,https://list.am/en/item/16698707,,,,,,
House,Stone,999 sq.m.,1,3,1,Partial Renovation,999 sq.m.,Gegharkunik › Vardenis,"3,000,000 ֏",AMD,"House for sale, Q, VARDENIS G, GEGHAMASAR HAS A LARGE plot of land, verapaz, refrigeratorTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16838126,,,,,,
House,Stone,1500 sq.m.,1,2,1,Partial Renovation,,"11st street, Khachaghbyur","$12,500",USD,"Urgent sale of own house in Khachaghbyur village, 2 large rooms, you can make 4 rooms, 3 windows, new euro in pictures, sepak house, 100 square meters, ТАН ГУИК ЕТ МИАСИНIt has a plot of land in front of the house of 1500 meters (15 sots), the water is constant inside the house, and outside, it also has cattle grazing.Translated from Armenian",Nov-24-2022_23-36,Available,Not available,,,,https://list.am/en/item/15690835,,,,,,
House,Stone,120 sq.m.,2,8+,2,Partial Renovation,8 sq.m.,Gegharkunik › Gavar,"6,000,000 ֏",AMD,"I am selling my own two-story house, located on Gavari st. In the neighborhood of the university, 50 m away from the main road, gas and light transmission from a distance of 10-20 m, water connection, divided into rooms inside, has a basement half of the surface of the building, the location is very convenient. Buy you won't regret itTranslated from Armenian",Nov-24-2022_23-36,Not available,3 or more spots,,,,https://list.am/en/item/18301134,,,,,,
House,Stone,240 sq.m.,2,5,1,Partial Renovation,500 sq.m.,Gegharkunik › Sevan,"10,000,000 ֏",AMD,"Кисакаруиц арандзнатун кахак Севанум Гомадзор тахамасум уни птхату аиги, aygin bavakanin mece, aпаоваце осанков, джур@ шат моте. Реал гнордин ксакаркем штапе...",Nov-24-2022_23-36,,,,,,https://list.am/en/item/15442846,,,,,,
House,Stone,190 sq.m.,2,3,1,Partial Renovation,1500 sq.m.,Gegharkunik › Chambarak,"$19,500",USD,"Վաճառվում է քարե սեփական տուն, Գեղարքունիքի մարզ, ք. Ճամբարակ Պ. Սևակի 60 հասցեում: Տունը երկհարկանի է, 1-ին հարկը՝ տնտեսական (գոմ, նկուղ), 2-րդ հարկը՝ բնակելի` 95 ք/մ: Բոլոր կոմունիկացիաները (մշտական ջուր, գազ, հոսանք, կոյուղի) առկա են: Ունի ընդարձակ բակ, հողամաս պտղատու ծառերով: Վաճառվում է շտապ։ Կսակարկեմ։",Nov-24-2022_23-36,Not available,Not available,,,,https://list.am/en/item/16574448,,,,,,
House,Stone,80 sq.m.,1,4,1,Old Renovation,1200 sq.m.,Gegharkunik › Sevan,"$32,000",USD,"Здраствуйте, продаю частный дома с хорошим участком, дом требует ремонта. Находится практический в центре Севана у кольцовой @рапарака, на улице Еленовка дом 5, земля ровная больше 10 соток, в доме 20 лет никто не живет, газ и вода отключены. Возможно обмен на квартиру в Ереване. Более подробную информацию могу рассказать при вашей заинтересованности. Пишите и звоните, буду рад! 89253009222ватсап, вайбер. А так же рассмотрю варианты обмена на авто!",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17798065,,,,,,
House,Stone,107 sq.m.,1,3,1,Old Renovation,130 sq.m.,Gegharkunik › Vardenis,"$20,000",USD,"The house is in normal condition, it is gasified, has a storage room, a barn, a kitchen-bathroom with a separate area outside, negotiable in case of a real buyerTranslated from Armenian",Nov-24-2022_23-36,,1 spot,,,,https://list.am/en/item/17164361,,,,,,
House,Monolith,260 sq.m.,2,5,1,Old Renovation,110 sq.m.,Gegharkunik › Gavar,"$31,000",USD,"2-storey private house is for sale in the central part of Gavar city.Living room, kitchen, bathroom on the 1st floor4 bedrooms on the 2nd floorHas a garage, a plot of land near the houseIt has water, gas, electricity, three-phase electricityThe renovation is oldTranslated from Armenian",Nov-24-2022_23-36,Available,1 spot,,,,https://list.am/en/item/16753803,,,,,,
House,Stone,260 sq.m.,2,8+,1,No Renovation,1350 sq.m.,Gegharkunik › Gavar,"9,000,000 ֏",AMD,"Two-story house on the shore of Gavaraget, on the Gavar-Artsvakar asphalt road. High-quality roof (steel), iron entrance doors, iron gates, auxiliary buildings. Drinking water in the yard, gas and electricity. Energy in the area. One room is full.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18207687,,,,,,
House,Stone,240 sq.m.,2,6,1,Euro Renovation,"12,000 sq.m.",Gegharkunik › Gavar,"$56,000",USD,"The house also has attached structures (basement garage, bakery, barn, shed, fruit storage) A large garden with more than 80 different types of trees. The house is very close to Lake Sevan and is suitable as a holiday home. I will also exchange for a suitable 2-3 room in Abovyan, YerevanTranslated from Armenian",Nov-24-2022_23-36,By agreement,1 spot,,,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/18351990,,,,,,
House,Stone,2800 sq.m.,1,4,2,Major Renovation,,Gegharkunik › Artanish,"$28,000",USD,"There are also pear, apple and plum treesTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18199096,,,,,,
House,Stone,40 sq.m.,1,2,1,No Renovation,1000 sq.m.,"Karmir Blur street, Yerevan","$5,000",USD,"A house with its land is for sale in Gegharkunik region, Artanish village.Call for details.Price is negotiable!Urgent! It is also exchanged for a carTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16973693,,,,,,
House,Stone,400 sq.m.,1,6,1,Old Renovation,270 sq.m.,"Viktor Hambartsumyan street 11, Vardenis","$25,000",USD,"6 rooms in the center of Vardenis, in good condition, gas, permanent water, garden with fruit trees, garage, barn, pantry, the rest by calling, Only for sale, no rentTranslated from Armenian",Nov-24-2022_23-36,,1 spot,,,,https://list.am/en/item/16487517,,,,,,
House,Stone,52 sq.m.,1,2,1,No Renovation,"30,000 sq.m.","11st street, Khachaghbyur","$5,500",USD,"Exchanged with the price of the car or for sale 2-room private house in Khachaghbyur village of Vardenis city, located 5-6 km from Lake Sjana, has a semi-basement of about 15 sq. M., as well as the possibility of adding 2 rooms, the roof of which is already ready is: There is a 0.5 hectare plot in front of the house, where there is irrigation water. It also has 3 hectares of arable land, where it is intended for sowing wheat or barley. The house has electricity, gas and drinking water, which are located at a distance of about 50 meters. Price is negotiableTranslated from Armenian",Nov-24-2022_23-36,By agreement,Not available,,,,https://list.am/en/item/17957797,,,,,,
House,Stone,331 sq.m.,3,8+,2,Major Renovation,800 sq.m.,Gegharkunik › Sevan,"$90,000",USD,"— Շտապ վաճարվում է տուն Սեվանի մոտ:Գինը սակարկելի:Շատ գեղեցիկ, տուրիստական տեղում:Զանգահարեք մանրամասների համար:— Срочно продается дом у озера Севан.Цена договорная.Невероятно красивое, туристическое место.Звоните, расскажем больше.",Nov-24-2022_23-36,,3 or more spots,,,,https://list.am/en/item/17742103,,,,,,
House,Stone,240 sq.m.,2,8+,1,Cosmetic Renovation,10 sq.m.,Gegharkunik › Noratus,"1,800,000 ₽",RUB,"Продаётся большой двухэтажный дом общей площадью 10×12. По адресу с. НОРАТУС УЛ. СЕВАНА пер. 2, туп. 3 дом 7. Дом из базальта, делали для себя. Дом на участке 10 соток. Есть фруктовые деревья. В доме есть газ, вода и, естественно, и электричество. Дом находится рядом с небольшой речкой. Место красивое и спокойное. Дорога грунтованная. Первый этаж: Кухня, ванная с туалетом, зал-гостиная, спальня, есть и подсобка, и на первом этаже расположен гараж, в который есть вход через зал. Второй этаж: 4 спальни, один балкон с выходом через спальню в сторону речки, второй балкон с выходом через зал обращён в сторону двора; большой зал-гостиная. Дом, в принципе, укомплектован для житья: В каждой комнате есть своя мебель, ничего не увезли, всё там оставили, есть посуда даже, одним словом для жизни есть там всё. Есть возможность продажи дома и в рассрочку. Дополнительно фото по запросу. Можно обращаться и по ватсап, и по Вайбер. Все подробности по телефону:",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18131608,,,,,,
House,Stone,160 sq.m.,1,5,1,Old Renovation,840 sq.m.,"Կարմիր Բանակի փողոց 56, Սևան","$30,000",USD,"An apartment is for sale urgently. There is a barn in the yard of the house, there are fruit trees. I will listen to exchange options.Translated from Armenian",Nov-24-2022_23-36,Not available,Not available,,,,https://list.am/en/item/17111213,,,,,,
House,Stone,140 sq.m.,1,4,1,Old Renovation,"20,000 sq.m.","Ազատության փողոց 16, Գավառ","$22,000",USD,"The house is not inhabited, the owner is in RussiaTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17058860,,,,,,
House,Stone,821 sq.m.,1,3,1,Old Renovation,,Gegharkunik › Artanish,"$6,000",USD,"RESIDENTIAL HOUSE, the village is located on the shore of Lake Sevan. The house is located at the beginning of the villageTranslated from Armenian",Nov-24-2022_23-36,,Not available,,,,https://list.am/en/item/18127173,,,,,,
House,Stone,400 sq.m.,1,5,1,Euro Renovation,,Gegharkunik › Lchashen,"$50,000",USD,"1-storey private house is for sale or exchange in Lchashen village, about one kilometer from Lake Sjana.The total area is about 400 square meters. M:Has 5 rooms, kitchen and bathroom.The apartment has:Permanent water-Natural gas-Mercuri heating system-Euro doors and windows (windows with bars)-Tiled bathroomBasementAdjacent is a garage about 80 sq. M. M:The whole area of the house is fenced...He is exchanged with a private house or an apartment in Yerevan...For details, call the mentioned phone number or Whats app, ViberTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17862174,,,,,,
House,Stone,150 sq.m.,2,5,1,Partial Renovation,8 sq.m.,"Zoravar Andranik street, Yerevan","$25,000",USD,"A private house is for sale on Zargaryan street, near the auxiliary school.It has a bakery, a garage, a barn, all the amenities are created for normal living.Price is negotiable.Translated from Armenian",Nov-24-2022_23-36,Not available,1 spot,,,,https://list.am/en/item/16681231,,,,,,
Country House,Stone,1970 sq.m.,2,3,1,Old Renovation,,"Yerevanyan highway 3, Սևան","$10,000",USD,"Շտապ վաճառվում է 2հարկանի սեփական տուն Դրախտիկ գյուղում՝ Սևանից 3կմ հեռավորության վրա։ Տունը պետական վիճակում է։ Առկա է մեծ հողատարածք (2000ք. Մ), անասնագոմ։ Գինը սակարկելի։ Հարցերի դեպքում զանգահարել ։",Nov-24-2022_23-36,Not available,Not available,,,,https://list.am/en/item/14324087,,,,,,
House,Stone,240 sq.m.,2,8+,2,Major Renovation,1300 sq.m.,Gegharkunik › Gavar,"35,000,000 ֏",AMD,"The house is located in the village of Gandzak, Gegharkunik marz, it is fully renovated, provided with constant cold and hot water, heating system, gasification, connected to the community sewer line. There is a garden with fruit trees on the side of the mansion, a 1300 square meter cultivated plot in front of which there is a 65 square meter stone building on the left side.Translated from Armenian",Nov-24-2022_23-36,Available,3 or more spots,,,,https://list.am/en/item/18236607,,,,,,
House,Stone,240 sq.m.,2,5,1,Cosmetic Renovation,3500 sq.m.,Gegharkunik › Chambarak,"$30,000",USD,"House-240 sq. M. M:Land area-3500 sq. M. M:The house has a spacious yardIn the yard there is a garage, a barbecue, a storage room, fruit trees, a flower gardenThe house is oni. Large lobby, four bedrooms, one living room with a large balcony. Has permanent gas, water and electricityThe price can be negotiatedIt is located 18 km away from Lake SanaaTranslated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17858353,,,,,,
House,Stone,350 sq.m.,1,3,1,No Renovation,,Gegharkunik › Chambarak,"$5,000",USD,Ջիլ գյուղում վաճառվում է տուն հողատարածքով մանրամասների համար զանգահարել Սակարկելի,Nov-24-2022_23-36,,,,,,https://list.am/en/item/14321114,,,,,,
House,Monolith,990 sq.m.,2,8+,3+,Designer Renovation,1496 sq.m.,Gegharkunik › Tsovagyugh,"$950,000",USD,Продается шикарная вилла на берегу озера Севан. Недалеко от села Цовагюх.Площадь строений 991 м2Земля 1496м2Уровень объекта можно оценить по фото.,Nov-24-2022_23-36,,,,,,https://list.am/en/item/18061429,,,,,,
House,Stone,550 sq.m.,2,7,1,Partial Renovation,300 sq.m.,Gegharkunik › Gavar,"$42,000",USD,Call for details.Translated from Armenian,Nov-24-2022_23-36,By agreement,1 spot,,,,https://list.am/en/item/17217858,,,,,,
House,Stone,55 sq.m.,1,3,1,No Renovation,500 sq.m.,Gegharkunik › Artanish,"4,000,000 ֏",AMD,"The plot is located in the highest part of Artanish and has a wonderful view of Sevan.The house needs major remodeling and has never been renovated.Land dataTarget Meaning: ResidencePurpose of use: Near homeType of right: PropertyBuilding dataTarget Meaning: ResidentialPurpose of use: Residential houseArea: 55.3 sq. M. M.Type of right: PropertyArtanish is one of the warmest places in the Sevan basin, where it is possible to use it seasonally as a summer house.Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/18137219,,,,,,
House,Stone,93 sq.m.,2,4,1,No Renovation,372 sq.m.,"Nairyan Street, Sevan town","$35,000",USD,"A private house on Nairyan Street is for sale URGENTLY. For more information call. The price is final, NOT negotiable.Translated from Armenian",Nov-24-2022_23-36,Not available,1 spot,,,,https://list.am/en/item/18299576,,,,,,
House,Stone,179 sq.m.,2,4,1,Partial Renovation,,Gegharkunik › Chambarak,"$8,000",USD,Private house in Chambarak with a large plot of land.The land is 1483 metersThe house - 179.3 metersTranslated from Armenian,Nov-24-2022_23-36,Not available,Not available,,,,https://list.am/en/item/14404709,,,,,,
House,Stone,550 sq.m.,3,8+,2,No Renovation,600 sq.m.,Gegharkunik › Sevan,"$42,000",USD,"Address city San Garegin Nzhdeh 1, next to the water supply system, all the communal facilities pass by, it is located near the school. For details, call the mentioned number.Translated from Armenian",Nov-24-2022_23-36,Not available,Not available,,,,https://list.am/en/item/17215854,,,,,,
House,Stone,2500 sq.m.,1,3,1,Old Renovation,2000 sq.m.,Gegharkunik › Vardenis,"$15,000",USD,Apartment for sale in the center of Vardenis in good conditionPrice is negotiableFor questions and pictures write and call the numberTranslated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/15988564,,,,,,
House,Stone,255 sq.m.,2,5,2,Old Renovation,46 sq.m.,Gegharkunik › Gavar,"$23,000",USD,"ՇՏԱՊՎաճառվում է երկհարկանի սեփական տուն Գավառի մանկատան մոտակայքում: Կոմունալ բոլոր հարմարություններով: Մակերեսը`255/182մ. Ք.: Ունի ավտոտնակ`26,9մ. Ք.: Հողամասը`0,046հա:Գինը՝ 23000$:",Nov-24-2022_23-36,Available,1 spot,,WAshing machine,"ELectricity, water supply, natural gas, sewerage",https://list.am/en/item/11434055,,,,,,
House,Stone,120 sq.m.,1,3,1,Euro Renovation,500 sq.m.,Gegharkunik › Chambarak,"14,500,000 ֏",AMD,"Own house in Aygut village, call for details. Urgently suitable for business as guest houseBusiness, country house, dacha houseTranslated from Armenian",Nov-24-2022_23-36,Available,Not available,,,,https://list.am/en/item/15902892,,,,,,
House,Stone,346 sq.m.,2,8+,3+,Old Renovation,,Gegharkunik › Gavar,"$55,000",USD,"It is a two-storey capital building in Gavar city, on Azatutyan street, it was built in 1985-1990. The total area of the land is 890 square meters, and the living area is 346 square meters. Renovated in a very interesting style. It has 6 bedrooms, one big hall, 2 bathrooms, 1 bathroom. Has a large garage ային storage room,A building of 90 square meters is built in the yard and A building of 22 square meters of stone. It has a 400 square meter garden with fruit trees.In case of non-answering of the phone լինելու unavailability, please contact the same number of viber աթ vatsap, or correspondence.THE PRICE IS FINAL.Translated from Armenian",Nov-24-2022_23-36,By agreement,3 or more spots,,,,https://list.am/en/item/14952681,,,,,,
House,Stone,50 sq.m.,1,3,1,Old Renovation,3500 sq.m.,Gegharkunik › Tsapatagh,"$15,000",USD,"A 3-room house of 50 square meters is for sale. The land area is 3500 square meters. About 50 productive trees were planted. 1.5 km from the Sevan coast. The price is $15,000 negotiable.Translated from Armenian",Nov-24-2022_23-36,,Not available,,,,https://list.am/en/item/17428762,,,,,,
Country House,Stone,47 sq.m.,1,3,1,Cosmetic Renovation,,"Nairyan St, Sevan","$17,000",USD,"Urgently for sale, a stone summer house, completely renovated and furnishedTranslated from Armenian",Nov-24-2022_23-36,Available,Not available,,,,https://list.am/en/item/15242726,,,,,,
House,Stone,150 sq.m.,1,7,1,Cosmetic Renovation,800 sq.m.,"Victor Hambardzumyan Street, Yerevan","$24,000",USD,"1. Double-walled stone walls2. Iron roof3. Renovated bathroom4. It is given partially furnished5. Water, gas and electricity6. Price is negotiableTranslated from Armenian",Nov-24-2022_23-36,Available,Not available,,,,https://list.am/en/item/17787171,,,,,,
House,Stone,,1,3,1,Euro Renovation,16 sq.m.,Gegharkunik › Vardenis,"$15,000",USD,"Private house for sale, has a garage, barn, orchard, available with all utilities and bax heating systemTranslated from Armenian",Nov-24-2022_23-36,Not available,1 spot,,,,https://list.am/en/item/13839596,,,,,,
Country House,Wooden,27 sq.m.,1,2,1,Euro Renovation,,"Ծաղկունք 1-րդ փողոց 10, Բալահովիտ","$5,000",USD,По вопросам звонит,Nov-24-2022_23-36,Available,Not available,,,,https://list.am/en/item/16725829,,,,,,
House,Stone,177 sq.m.,1,5,1,Cosmetic Renovation,1360 sq.m.,Gegharkunik › Martuni,"$39,000",USD,The house is in good condition.Translated from Armenian,Nov-24-2022_23-36,,,,,,https://list.am/en/item/18028760,,,,,,
House,Stone,150 sq.m.,2,6,3+,No Renovation,50 sq.m.,Gegharkunik › Gavar,"$14,000",USD,"Վաճառվում է սեփական տուն Գավառ քաղաքի Հացառատ թաղամասումՈւնի հողատարածք, 2 հարկ, քարե շինություն.Մանրամասների, հատակագիծը տեսնելու համար խնդրում ենք զանգահարելПродается нежилой частный дом с земельным участком, состояние на фотоПодойдет для прописки, регистрации бизнеса и тд.Находится в городе Гавар, АцаратПо всем вопросам просьба звонить по указанному номеру",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17736076,,,,,,
House,Monolith,1610 sq.m.,2,8+,2,No Renovation,,Gegharkunik › Gavar,"$24,000",USD,"Վաճառվում է երկհարկանի կիսակառույց սեփական տուն Գավառ քաղաքում, անմիջապես քաղաքաի մուտքի հատվածում: Հողամասի ընդհանուր մակերեսը 1310քմ. Է, իսկ շինության ընդհանուր մակերեսը՝ 300քմ: Երկեու տակ տուֆ քարով կառուցված կապիտալ շինություն է: Ունի նաև նկուղային հարկ: Բոլոր կոմունիկացիաները մոտ են Շատ հարմար է հյուրատնային գործունեություն ծավալելու համար:",Nov-24-2022_23-36,,3 or more spots,,,,https://list.am/en/item/14300735,,,,,,
House,Stone,259 sq.m.,2,4,1,Old Renovation,1400 sq.m.,Gegharkunik › Gegharkunik,"$82,000",USD,"Code ART876:2-storey house is for sale in Berdkunk. The total area is 1400 square meters, and the living area is 259 square meters. The house is old renovated. The windows are partially changed, the bathroom is tiled. On the 1st floor there is a living room, a kitchen, a bathroom. On the 2nd floor. There is an entrance hall, 3 bedrooms. There is an open balcony with a beautiful view of Lake Sanaa. There are fruit trees in the yard.Code ART-876Translated from Armenian",Nov-24-2022_23-36,,,,,,https://list.am/en/item/16711230,,,,,,
House,Stone,236 sq.m.,2,5,2,No Renovation,4357 sq.m.,Gegharkunik › Drakhtik,"$150,000",USD,"A private house is for sale in Sevan, on the shore of Shorzha.2 storeyThe walls are plastered, the roof is newly renovated, Euro windows, stone, solid building.60 square meter kitchen: Renovated, tiled, fireplace, grill, euro windows2 closed garages.2 separate entrancesFirst lineAll utilities are availableResidential construction permit 31.12Suitable for business use.Code 0800045Translated from Armenian",Nov-24-2022_23-36,By agreement,1 spot,,,,https://list.am/en/item/18198428,,,,,,
House,Stone,245 sq.m.,2,7,1,No Renovation,,Gegharkunik › Sevan,"$20,000",USD,"Շտապ վաճառվում է կիսակառուց՝ երկհարկանի տուն, իր հողատարածքով:---Срочно продается недостроенный, двухэтажный дом с земельным участком.",Nov-24-2022_23-36,,,,,,https://list.am/en/item/17433218,,,,,,
